cbsa_code,msa_name,population,state_abbr,census_region,pop_stratum,rail_stratum,sm_stratum,stratum,has_rail,has_shared_mobility,n_agencies,agency_list,n_shared_mobility,shared_mobility_list,selection_method,sample_weight
28660,"Killeen-Temple, TX",485850,TX,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,Hill Country Transit District,0,,stratified_random,10.090909090909092
18580,"Corpus Christi, TX",446797,TX,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,Corpus Christi Regional Transportation Authority,0,,stratified_random,10.090909090909092
42340,"Savannah, GA",412089,GA,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,Chatham Area Transit Authority,0,,stratified_random,10.090909090909092
17300,"Clarksville, TN-KY",328626,TN,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,City of Clarksville,0,,stratified_random,10.090909090909092
16300,"Cedar Rapids, IA",275960,IA,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,2,City of Cedar Rapids; Linn County,0,,stratified_random,10.857142857142858
25940,"Hilton Head Island-Bluffton-Port Royal, SC",222781,SC,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,Lowcountry Regional Transportation Authority,0,,stratified_random,10.090909090909092
32420,"Mayagüez, PR",211487,PR,Unknown,Small,NoRail,NoSM,Small_NoRail_NoSM_Unknown,False,False,2,Municipality of Hormigueros; Municipality of Mayaguez,0,,stratified_random,5.0
49740,"Yuma, AZ",207685,AZ,West,Small,NoRail,NoSM,Small_NoRail_NoSM_West,False,False,1,Yuma County Intergovernmental Public Transportation Authority,0,,stratified_random,12.2
29100,"La Crosse-Onalaska, WI-MN",169945,WI,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,2,City of La Crosse; City of Onalaska,0,,stratified_random,10.857142857142858
45460,"Terre Haute, IN",168850,IN,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,1,City of Terre Haute ,0,,stratified_random,10.857142857142858
12620,"Bangor, ME",153571,ME,Northeast,Small,NoRail,NoSM,Small_NoRail_NoSM_Northeast,False,False,2,City of Bangor; Penquis Community Action Program,0,,stratified_random,15.0
35660,"Niles, MI",153411,MI,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,0,,0,,stratified_random,10.857142857142858
34060,"Morgantown, WV",140724,WV,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,2,Monongalia County Urban Mass Transit Authority; West Virginia University,0,,stratified_random,10.090909090909092
43300,"Sherman-Denison, TX",139988,TX,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,"Texoma Area Paratransit System, Inc",0,,stratified_random,10.090909090909092
48140,"Wausau, WI",138067,WI,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,1,"City of Wausau, Wisconsin",0,,stratified_random,10.857142857142858
48680,"Wildwood-The Villages, FL",137536,FL,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,Sumter County Board of County Commissioners,0,,stratified_random,10.090909090909092
44220,"Springfield, OH",135445,OH,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,1,"City of Springfield, Ohio",0,,stratified_random,10.857142857142858
27780,"Johnstown, PA",132355,PA,Northeast,Small,NoRail,NoSM,Small_NoRail_NoSM_Northeast,False,False,1,Cambria County Transit Authority,0,,stratified_random,15.0
43420,"Sierra Vista-Douglas, AZ",125458,AZ,West,Small,NoRail,NoSM,Small_NoRail_NoSM_West,False,False,1,City of Sierra Vista,0,,stratified_random,12.2
22140,"Farmington, NM",121178,NM,West,Small,NoRail,NoSM,Small_NoRail_NoSM_West,False,False,1,City of Farmington,0,,stratified_random,12.2
34100,"Morristown, TN",120765,TN,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,"East Tennessee Human Resource Agency, Inc.",0,,stratified_random,10.090909090909092
13220,"Beckley, WV",113653,WV,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,New River Transit Authority,0,,stratified_random,10.090909090909092
44940,"Sumter, SC",104853,SC,South,Small,NoRail,NoSM,Small_NoRail_NoSM_South,False,False,1,Santee Wateree Regional Transportation Authority,0,,stratified_random,10.090909090909092
30620,"Lima, OH",101685,OH,Midwest,Small,NoRail,NoSM,Small_NoRail_NoSM_Midwest,False,False,1,Lima Allen County Regional Transit Authority,0,,stratified_random,10.857142857142858
24420,"Grants Pass, OR",88069,OR,West,Small,NoRail,NoSM,Small_NoRail_NoSM_West,False,False,1,Josephine County,0,,stratified_random,12.2
47460,"Walla Walla, WA",62102,WA,West,Small,NoRail,NoSM,Small_NoRail_NoSM_West,False,False,1,Valley Transit,0,,stratified_random,12.2
